model;year;engineSize;transmission;mileage;fuelType;tax;mpg;price
1;2017;1.0;2;15944;4;150;57.7;12000
2;2018;1.0;1;9083;4;150;57.7;14000
2;2017;1.0;1;12456;4;150;57.7;13000
1;2019;1.5;1;10460;4;145;40.3;17500
1;2019;1.0;2;1482;4;145;48.7;16500
1;2015;1.6;1;35432;4;145;47.9;10500
3;2019;1.0;1;2029;4;145;50.4;22500
1;2017;1.2;1;13054;4;145;54.3;9000
4;2019;2.0;2;6894;1;145;42.2;25500
2;2018;1.0;1;48141;4;145;61.4;10000
1;2018;1.0;1;18803;4;145;56.5;11561
5;2018;1.0;1;12065;4;145;54.3;13500
1;2017;1.0;1;20978;4;0;65.7;11000
4;2018;2.0;3;9002;1;145;54.3;17999
4;2018;1.5;3;8970;1;145;58.9;18999
4;2018;1.5;1;12810;1;145;64.2;14399
4;2019;2.0;1;10428;1;145;38.2;17999
4;2018;2.0;1;14680;1;145;54.3;16899
1;2017;1.0;1;12427;4;20;62.8;10999
1;2019;1.0;1;25521;4;145;55.4;12500
1;2018;1.1;1;20400;4;145;55.4;9499
1;2017;1.0;1;24926;4;145;65.7;10500
1;2017;1.0;1;26163;4;145;65.7;8995
4;2014;2.0;1;59000;1;160;47.9;8995
1;2014;1.0;1;35299;4;0;65.7;6795
2;2017;2.0;1;13063;4;145;41.5;18499
6;2018;1.5;1;23800;1;145;68.9;11799
1;2015;1.0;1;25935;4;0;65.7;8299
1;2018;1.0;1;8700;4;145;58.9;12499
1;2017;1.2;1;25000;4;125;54.3;8699
1;2016;1.5;1;60730;1;0;78.5;7999
1;2017;1.2;1;18561;4;145;54.3;8991
2;2019;1.0;1;8400;4;145;60.1;18990
1;2013;1.0;1;39090;4;0;65.7;7236
4;2018;1.5;3;33149;1;145;58.9;15287
7;2019;2.0;1;24;1;145;65.7;20000
5;2020;1.0;1;558;4;145;53.3;20000
4;2019;2.0;1;3259;1;145;39.2;21378
1;2018;1.0;1;15100;4;145;65.7;9814
8;2018;1.2;1;25000;4;145;57.7;8261
1;2017;1.0;1;15612;4;145;65.7;8788
1;2018;1.0;1;8920;4;145;58.9;12251
4;2017;2.0;1;24803;1;145;60.1;16320
1;2019;1.1;1;7;4;145;48.7;13140
1;2018;1.0;3;43019;4;145;48.7;10491
4;2016;2.0;3;41607;1;145;54.3;13870
2;2017;2.0;1;23554;4;145;41.5;14960
1;2019;1.0;1;6923;4;145;58.9;13540
2;2019;1.5;1;10985;1;145;74.3;17970
6;2017;1.5;1;29617;1;20;68.9;9330
1;2016;1.0;1;47613;4;0;65.7;6000
8;2019;1.2;1;5122;4;145;43.5;8995
8;2019;1.2;1;32;4;145;48.7;8495
1;2016;1.2;1;31562;4;125;54.3;6395
2;2019;1.0;1;8131;4;145;58.9;14495
9;2018;2.0;2;24568;1;145;31.7;19995
12;2017;2.0;2;39605;1;145;54.3;18495
2;2019;2.0;1;11496;1;145;57.6;17995
1;2013;1.2;1;51271;4;30;54.3;5495
4;2018;1.5;2;7189;1;145;58.9;16995
4;2018;1.5;1;29428;1;145;54.3;16495
4;2018;1.5;1;12162;4;145;39.2;17998
13;2014;1.6;3;33023;4;160;44.1;7498
2;2019;1.0;1;2714;4;150;49.6;17498
12;2017;2.0;1;17051;1;150;56.5;17498
1;2013;1.5;1;44304;1;0;76.4;5998
4;2019;1.5;1;4844;4;145;34.4;17698
4;2016;2.0;1;31810;1;125;60.1;11000
5;2017;1.5;1;43081;4;145;44.8;8700
4;2017;2.0;1;47159;1;145;54.3;15300
1;2013;1.0;1;25000;4;0;65.7;7490
2;2017;1.0;1;29891;4;145;60.1;10760
4;2019;1.5;1;10237;4;145;39.2;18760
1;2014;1.0;1;48653;4;0;65.7;6360
1;2014;1.0;1;60888;4;0;65.7;6270
4;2017;1.5;2;15815;4;235;38.2;17920
1;2013;1.0;1;74128;4;0;65.7;4790
2;2015;1.5;1;50124;1;0;74.3;7830
1;2015;1.5;1;29851;1;0;76.4;6990
14;2016;2.0;1;24105;1;160;48.7;18640
1;2015;1.2;1;28935;4;30;54.3;6700
1;2018;1.0;1;30925;4;145;65.7;9498
2;2018;1.0;1;13418;4;145;58.9;13698
1;2018;1.0;1;13756;4;145;58.9;13298
4;2015;2.0;1;25175;1;145;54.3;14398
1;2017;1.1;1;21267;4;145;64.2;8998
1;2019;1.0;1;12130;4;145;56.5;12698
1;2019;1.0;1;17354;4;145;56.5;11998
1;2019;1.0;1;15822;4;145;58.9;13498
1;2019;1.0;1;10557;4;145;58.9;13498
2;2016;1.0;1;20786;4;20;61.4;9698
2;2016;2.3;1;7997;4;235;36.7;24995
1;2017;1.0;1;19079;4;145;65.7;9895
1;2018;1.0;1;14979;4;145;58.9;12995
11;2015;1.6;1;47904;1;125;56.5;9295
